district_code,modules_activ_e,modules_activ_m,modules_activ_s,modules_lesson_e,modules_lesson_m,modules_lesson_s,school_name,school_server_code,stud_used_modules_e,stud_used_modules_m,stud_used_modules_s,total_stud_unique_modul,units_attempted_most_stud_e,units_attempted_most_stud_m,units_attempted_most_stud_s,units_attempted_stud_e,units_attempted_stud_m,units_attempted_stud_s
1060,,,,,,,,,,,,,,,,,,
1061,,,,,,,,,,,,,,,,,,
1062,,,,,,,,,,,,,,,,,,
1063,,,,,,,,,,,,,,,,,,
1064,,,,,,,,,,,,,,,,,,
1065,,,,,,,,,,,,,,,,,,
1066,,,,,,,,,,,,,,,,,,
1067,0,2,2,0,0,2,ZPHS GORREKUNTA,4221067-tg167,16,17,17,20,1,2,3,29,36,53
1068,0,0,2,0,0,2,ZPHS KOMMALA,4221068-tg168,5,4,5,7,3,2,3,15,9,14
1069,,,,,,,,,,,,,,,,,,
1070,,,,,,,,,,,,,,,,,,
1071,,,,,,,,,,,,,,,,,,
1072,,,,,,,,,,,,,,,,,,
1073,,,,,,,,,,,,,,,,,,
1074,0,1,2,0,0,2,ZPHS RUDRAGUDEM,4221074-tg174,12,7,22,24,2,2,2,25,15,52
1075,,,,,,,,,,,,,,,,,,
1076,,,,,,,,,,,,,,,,,,
1077,,,,,,,,,,,,,,,,,,
1078,0,0,0,0,0,0,GHS Markaji,4231078-tg178,0,1,0,1,,1,,,1,
1079,,,,,,,,,,,,,,,,,,
1080,,,,,,,,,,,,,,,,,,
1081,,,,,,,,,,,,,,,,,,
1082,,,,,,,,,,,,,,,,,,
1083,,,,,,,,,,,,,,,,,,
1084,0,8,14,0,2,25,ZPHS Tharalapally,4231084-tg184,14,13,53,56,1,1,1,24,21,83
1085,,,,,,,,,,,,,,,,,,
1086,,,,,,,,,,,,,,,,,,
1087,,,,,,,,,,,,,,,,,,
1088,,,,,,,,,,,,,,,,,,
1089,,,,,,,,,,,,,,,,,,
1090,0,0,2,0,0,2,Zphs CHITYAL,4141090-tg190,5,4,5,7,3,2,3,15,9,14
1091,,,,,,,,,,,,,,,,,,
1092,,,,,,,,,,,,,,,,,,
1093,,,,,,,,,,,,,,,,,,
1094,0,0,2,0,0,2,zphs nadikuda,4221094-tg194,5,4,5,7,3,2,3,15,9,14
1095,0,0,2,0,0,2,ZPHS VARIKOLE,4221095-tg195,5,4,5,7,3,2,3,15,9,14
2000,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,
2002,0,2,5,0,1,6,ZPHS Ramadugu,4152002-tg202,19,16,30,35,1,2,1.5,33,27,62
2003,0,0,2,0,0,2,Zphs Peddalingapoor,4202003-tg203,5,4,16,20,3,2,1,15,9,29
2004,0,6,10,0,3,8,Zphs Galipally,4202004-tg204,53,28,53,64,2,1,2,99,41,128
2005,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,
2010,4,2,0,2,3,0,Zphs NOOKALAMARRY,4202010-tg210,30,14,14,41,2,1,2,64,17,32
2011,,,,,,,,,,,,,,,,,,
2012,0,2,2,0,2,3,ZPHS KATNAPALLY,4152012-tg212,20,12,25,30,2,2,2,38,23,57
2013,0,0,2,0,1,2,ZPHS METPALLY,4152013-tg213,27,20,33,36,2,1.5,2,56,35,94
2014,,,,,,,,,,,,,,,,,,
2015,0,4,2,0,0,2,Zphs Gannervaram,4152015-tg215,19,11,19,21,2,2,3,40,31,74
2016,,,,,,,,,,,,,,,,,,
2017,0,6,2,0,0,2,Zphs ellandakunta,4152017-tg217,10,11,10,17,2,2,2.5,21,22,26
2018,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,
2023,0,0,2,0,0,2,Zphs Tssw boys jammikunta,4152023-tg223,7,4,6,10,3,2,2.5,18,9,16
2024,,,,,,,,,,,,,,,,,,
2025,,,,,,,,,,,,,,,,,,
2026,,,,,,,,,,,,,,,,,,
2027,,,,,,,,,,,,,,,,,,
2028,,,,,,,,,,,,,,,,,,
2029,,,,,,,,,,,,,,,,,,
2030,0,0,2,0,0,2,GHS(G) Mukarampura,4152030-tg230,6,5,6,10,3,2,2.5,16,10,15
2031,9,29,16,5,37,23,ZPHS Kannapur,4152031-tg231,29,40,32,44,3,2.5,3,73,107,97
2032,0,0,2,0,1,3,ZPHS Boinpalli,4202032-tg232,20,21,14,57,1,1,1.5,31,35,28
2033,0,0,2,0,0,2,Zphs Janagapally,4152033-tg233,5,4,5,7,3,2,3,15,9,14
2034,0,18,12,0,10,15,ZPHS KODURUPAKA,4202034-tg234,77,47,72,92,2,3,3,179,133,220
2035,0,2,3,0,1,2,GOVT. MIZO HIGH SCHOOL,4152035-tg235,13,17,13,21,1,1,3,24,26,46
2036,,,,,,,,,,,,,,,,,,
2037,,,,,,,,,,,,,,,,,,
2038,1,0,0,1,0,0,ZPHS SIRSAPALLY,4152038-tg238,11,4,1,12,1,1.5,1,12,6,1
2039,,,,,,,,,,,,,,,,,,
2040,,,,,,,,,,,,,,,,,,
2041,0,0,2,0,0,2,ZPHS BORNAPALLY,4152041-tg241,13,5,8,15,2,2,2,28,11,18
2042,,,,,,,,,,,,,,,,,,
2043,0,0,2,0,0,2,Zphs.eligaid,4112043-tg243,11,5,8,14,1,2,1.5,21,10,17
2044,,,,,,,,,,,,,,,,,,
2045,,,,,,,,,,,,,,,,,,
2046,,,,,,,,,,,,,,,,,,
2047,,,,,,,,,,,,,,,,,,
2048,,,,,,,,,,,,,,,,,,
2049,0,0,2,0,0,3,Zphs rachapalli,4152049-tg249,5,5,7,10,3,2,2,15,10,16
2050,,,,,,,,,,,,,,,,,,
2051,,,,,,,,,,,,,,,,,,
2052,,,,,,,,,,,,,,,,,,
2053,,,,,,,,,,,,,,,,,,
2054,,,,,,,,,,,,,,,,,,
2055,,,,,,,,,,,,,,,,,,
2056,,,,,,,,,,,,,,,,,,
2057,,,,,,,,,,,,,,,,,,
2058,,,,,,,,,,,,,,,,,,
2059,3,1,3,0,0,3,ZPHS NIMMAPALLY,4202059-tg259,24,8,13,26,2,2,2,44,14,30
2060,,,,,,,,,,,,,,,,,,
2061,,,,,,,,,,,,,,,,,,
2062,0,0,2,0,0,2,ZPHS Wadkapur,4112062-tg262,5,4,5,7,3,2,3,15,9,14
2063,,,,,,,,,,,,,,,,,,
2064,,,,,,,,,,,,,,,,,,
2065,,,,,,,,,,,,,,,,,,
2066,,,,,,,,,,,,,,,,,,
2067,,,,,,,,,,,,,,,,,,
2068,,,,,,,,,,,,,,,,,,
2069,,,,,,,,,,,,,,,,,,
2070,,,,,,,,,,,,,,,,,,
2071,,,,,,,,,,,,,,,,,,
2072,0,4,2,0,24,2,ZPHS VELDHI,4152072-tg272,39,49,39,62,2,1,3,67,91,103
2073,,,,,,,,,,,,,,,,,,
2074,0,0,2,0,3,2,Zphs Hanmajipet,4202074-tg274,10,8,9,14,2,1.5,2,21,13,19
2075,,,,,,,,,,,,,,,,,,
2076,,,,,,,,,,,,,,,,,,
2077,,,,,,,,,,,,,,,,,,
2078,,,,,,,,,,,,,,,,,,
2079,,,,,,,,,,,,,,,,,,
2080,,,,,,,,,,,,,,,,,,
2081,,,,,,,,,,,,,,,,,,
2082,,,,,,,,,,,,,,,,,,
2083,0,1,8,0,0,6,ZPHS Venkatapur,4202083-tg283,29,16,27,35,2,2,3,69,26,88
2084,,,,,,,,,,,,,,,,,,
2085,0,1,2,0,2,2,Zphs.sulthanpur,4112085-tg285,14,14,8,20,2,1,2,28,20,18
2086,,,,,,,,,,,,,,,,,,
2087,,,,,,,,,,,,,,,,,,
2088,,,,,,,,,,,,,,,,,,
2089,,,,,,,,,,,,,,,,,,
2090,,,,,,,,,,,,,,,,,,
2091,0,0,2,0,0,2,Zphs korapally,4152091-tg291,5,4,5,7,3,2,3,15,9,14
2092,0,0,2,0,0,2,Zphs kurikyal,4152092-tg292,6,15,5,19,3,1,3,16,21,14
2093,,,,,,,,,,,,,,,,,,
2094,,,,,,,,,,,,,,,,,,
2095,,,,,,,,,,,,,,,,,,
2096,,,,,,,,,,,,,,,,,,
2097,,,,,,,,,,,,,,,,,,
2098,,,,,,,,,,,,,,,,,,
2099,2,0,2,0,0,2,Zphs Thotapally,4192099-tg299,22,5,12,25,2,2,2,42,10,27
3016,0,0,2,0,0,2,ZPHS MALKAPUR,4183016-tg16,5,4,5,7,3,2,3,15,9,14
3017,,,,,,,,,,,,,,,,,,
3018,,,,,,,,,,,,,,,,,,
3019,,,,,,,,,,,,,,,,,,
3020,,,,,,,,,,,,,,,,,,
3021,,,,,,,,,,,,,,,,,,
3022,,,,,,,,,,,,,,,,,,
3023,0,0,0,0,0,0,ZPHS Yacharam,4183023-tg23,0,1,1,1,,5,2,,5,2
3024,,,,,,,,,,,,,,,,,,
3025,,,,,,,,,,,,,,,,,,
3026,,,,,,,,,,,,,,,,,,
3027,0,0,2,0,0,2,ZPHS Korremul,4173027-tg27,5,4,5,7,3,2,3,15,9,14
3028,,,,,,,,,,,,,,,,,,
3029,,,,,,,,,,,,,,,,,,
3030,,,,,,,,,,,,,,,,,,
3031,,,,,,,,,,,,,,,,,,
3032,0,0,2,0,0,2,ZPHS Aziznagar,4183032-tg32,5,4,5,7,3,2,3,15,9,14
3033,,,,,,,,,,,,,,,,,,
3034,,,,,,,,,,,,,,,,,,
3035,,,,,,,,,,,,,,,,,,
3036,,,,,,,,,,,,,,,,,,
3037,,,,,,,,,,,,,,,,,,
3038,,,,,,,,,,,,,,,,,,
3039,,,,,,,,,,,,,,,,,,
3040,,,,,,,,,,,,,,,,,,
3041,,,,,,,,,,,,,,,,,,
3042,,,,,,,,,,,,,,,,,,
3043,,,,,,,,,,,,,,,,,,
3044,,,,,,,,,,,,,,,,,,
3045,0,0,2,0,2,2,ZPHS PUDUR,4213045-tg45,8,7,33,38,3,2,1,20,12,47
3046,,,,,,,,,,,,,,,,,,
3047,,,,,,,,,,,,,,,,,,
3048,,,,,,,,,,,,,,,,,,
3049,,,,,,,,,,,,,,,,,,
3050,,,,,,,,,,,,,,,,,,
3051,,,,,,,,,,,,,,,,,,
3052,0,0,2,0,0,2,ZPHS CHEVELLA G,4183052-tg52,5,4,5,7,3,2,3,15,9,14
3053,,,,,,,,,,,,,,,,,,
3054,,,,,,,,,,,,,,,,,,
3055,,,,,,,,,,,,,,,,,,
3056,,,,,,,,,,,,,,,,,,
3057,,,,,,,,,,,,,,,,,,
3058,,,,,,,,,,,,,,,,,,
3059,,,,,,,,,,,,,,,,,,
3060,,,,,,,,,,,,,,,,,,
3061,,,,,,,,,,,,,,,,,,
3062,,,,,,,,,,,,,,,,,,
3063,,,,,,,,,,,,,,,,,,
3064,,,,,,,,,,,,,,,,,,
3065,,,,,,,,,,,,,,,,,,
3066,,,,,,,,,,,,,,,,,,
3067,,,,,,,,,,,,,,,,,,
3068,0,0,0,0,0,0,GHS IBRAHIMPATANAM,4183068-tg68,0,1,0,1,,1,,,1,
3069,,,,,,,,,,,,,,,,,,
3070,,,,,,,,,,,,,,,,,,
3071,,,,,,,,,,,,,,,,,,
3072,,,,,,,,,,,,,,,,,,
3073,,,,,,,,,,,,,,,,,,
3074,0,1,0,0,0,0,ZPHS KUKATPALLY,4173074-tg74,36,6,4,37,1,2,1.5,46,11,6
3075,0,2,1,0,0,3,ZPHS SHAMSHIGUDA,4173075-tg75,6,4,10,11,1,1,3,10,7,36
3076,,,,,,,,,,,,,,,,,,
3077,,,,,,,,,,,,,,,,,,
3078,,,,,,,,,,,,,,,,,,
3079,,,,,,,,,,,,,,,,,,
3080,0,0,2,0,0,2,ZPHS NAGAWARAM,4173080-tg80,5,4,5,7,3,2,3,15,9,14
